EmployeeId,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
1,37.0,Travel_Rarely,1141.0,Research & Development,11.0,College,Medical,1.0,Low,Female,61.0,Low,2.0,Healthcare Representative,Good,Married,4777.0,14382.0,5.0,Y,No,15.0,Excellent,Low,80.0,0.0,15.0,2.0,Low,1.0,0.0,0.0,0.0,Yes
2,51.0,Travel_Rarely,1323.0,Research & Development,4.0,Master,Life Sciences,1.0,Low,Male,34.0,High,1.0,Research Scientist,High,Married,2461.0000000000014,10332.0,9.0,Y,Yes,12.0,Excellent,High,80.0,3.0,18.0,2.0,Outstanding,10.0,0.0,2.0,7.0,Yes
3,42.0,Travel_Frequently,555.0,Sales,26.0,Bachelor,Marketing,1.0,High,Female,77.0,High,4.0,Sales Executive,Good,Married,13524.999999999998,14864.0,5.0,Y,No,14.0,Excellent,Very High,80.0,1.0,23.0,2.0,Outstanding,20.0,4.0,4.0,8.0,No
4,40.0,Travel_Rarely,1124.0,Sales,1.0,College,Medical,1.0,Good,Male,57.0,Low,2.0,Sales Executive,Very High,Married,7457.0,13273.0,2.0,Y,Yes,22.0,Outstanding,High,80.0,3.0,6.0,2.0,Good,4.0,3.0,0.0,2.0,No
5,55.0,Travel_Rarely,725.0,Research & Development,2.0,Bachelor,Medical,1.0,Very High,Male,78.0,High,5.0,Manager,Low,Married,19859.0,21199.0,5.0,Y,Yes,13.0,Excellent,Very High,80.0,1.0,24.0,2.0,Excellent,5.0,2.0,1.0,4.0,Yes
6,36.0,Travel_Frequently,635.0,Research & Development,18.0,Below College,Medical,1.0,Good,Female,73.0,High,1.0,Laboratory Technician,Very High,Single,2153.0,7703.0,1.0,Y,No,13.0,Excellent,Low,80.0,0.0,8.0,2.0,Excellent,8.0,1.0,1.0,7.0,No
7,32.0,Travel_Rarely,1018.0,Research & Development,3.0,College,Life Sciences,1.0,High,Female,39.0,High,3.0,Research Director,Very High,Single,11158.999999999996,19373.0,3.0,Y,No,15.0,Excellent,Very High,80.0,0.0,10.0,6.0,Excellent,7.0,7.0,7.0,7.0,No
8,25.0,Travel_Rarely,583.0,Sales,4.0,Below College,Marketing,1.0,High,Male,87.0,Good,2.0,Sales Executive,Low,Married,4256.0,18154.000000000004,1.0,Y,No,12.0,Excellent,Low,80.0,0.0,5.0,1.0,Outstanding,5.0,2.0,0.0,3.0,No
9,20.0,Travel_Rarely,129.0,Research & Development,4.0,Bachelor,Technical Degree,1.0,Low,Male,84.0,High,1.0,Laboratory Technician,Low,Single,2972.9999999999995,13008.0,1.0,Y,No,19.0,Excellent,Good,80.0,0.0,1.0,2.0,Excellent,1.0,0.0,0.0,0.0,Yes
10,42.0,Travel_Rarely,810.0,Research & Development,23.0,Doctor,Life Sciences,1.0,Low,Female,44.0,High,4.0,Research Director,Very High,Single,15992.000000000031,15901.0,2.0,Y,No,14.0,Excellent,Good,80.0,0.0,16.0,2.0,Excellent,1.0,0.0,0.0,0.0,No
11,31.0,Travel_Rarely,616.0,Research & Development,12.0,Bachelor,Medical,1.0,Very High,Female,41.0,High,2.0,Healthcare Representative,Very High,Married,5854.999999999999,17369.0,0.0,Y,Yes,11.0,Excellent,High,80.0,2.0,10.0,2.0,Low,9.0,7.0,8.0,5.0,No
12,38.0,Non-Travel,573.0,Research & Development,6.0,Bachelor,Medical,1.0,Good,Female,79.0,Low,2.0,Research Scientist,Very High,Divorced,5329.0,15717.0,7.0,Y,Yes,12.0,Excellent,Very High,80.0,3.0,17.0,3.0,Excellent,13.0,11.0,1.0,9.0,No
13,39.0,Travel_Rarely,408.0,Research & Development,2.0,Master,Technical Degree,1.0,Very High,Female,80.0,Good,2.0,Healthcare Representative,High,Single,4553.0,20978.0,1.0,Y,No,11.0,Excellent,Low,80.0,0.0,20.0,4.0,Excellent,20.0,7.0,11.0,10.0,No
14,54.0,Travel_Rarely,821.0,Research & Development,5.0,College,Medical,1.0,Low,Male,86.0,High,5.0,Research Director,Low,Married,19406.0,8509.0,4.0,Y,No,11.0,Excellent,High,80.0,1.0,24.0,4.0,Good,4.0,2.0,1.0,2.0,No
15,49.0,Travel_Rarely,1098.0,Research & Development,4.0,College,Medical,1.0,Low,Male,85.0,Good,5.0,Manager,High,Married,18711.0,12124.0,2.0,Y,No,13.0,Excellent,High,80.0,1.0,23.0,2.0,Outstanding,1.0,0.0,0.0,0.0,No
16,24.0,Travel_Rarely,691.0,Research & Development,23.0,Bachelor,Medical,1.0,Good,Male,89.0,Very High,1.0,Research Scientist,Very High,Married,2725.0000000000005,21630.000000000004,1.0,Y,Yes,11.0,Excellent,Good,80.0,2.0,6.0,3.0,Excellent,6.0,5.0,1.0,4.0,No
17,40.0,Travel_Rarely,302.0000000000001,Research & Development,6.0,Bachelor,Life Sciences,1.0,Good,Female,75.0,High,4.0,Manufacturing Director,High,Single,13236.999999999996,20364.0,7.0,Y,No,15.0,Excellent,High,80.0,0.0,22.0,3.0,Excellent,20.0,6.0,5.0,13.0,No
18,41.0,Non-Travel,267.0,Sales,10.0,College,Life Sciences,1.0,Very High,Male,56.0,High,2.0,Sales Executive,Very High,Single,6230.0,13430.0,7.0,Y,No,14.0,Excellent,Very High,80.0,0.0,16.0,3.0,Excellent,14.0,3.0,1.0,10.0,No
19,32.0,Travel_Rarely,588.0,Sales,8.0,College,Technical Degree,1.0,High,Female,65.0,Good,2.0,Sales Executive,Good,Married,5228.0,24624.0,1.0,Y,Yes,11.0,Excellent,Very High,80.0,0.0,13.0,2.0,Excellent,13.0,12.0,11.0,9.0,No
20,24.0,Travel_Rarely,813.0,Research & Development,1.0,Bachelor,Medical,1.0,Good,Male,61.0,High,1.0,Research Scientist,Very High,Married,2293.0,3020.0,2.0,Y,Yes,16.0,Excellent,Low,80.0,1.0,6.0,2.0,Good,2.0,0.0,2.0,0.0,Yes
21,39.0,Travel_Rarely,411.9999999999998,Research & Development,13.0,Master,Medical,1.0,High,Female,94.0,Good,4.0,Manager,Good,Divorced,17123.0,17334.0,6.0,Y,Yes,13.0,Excellent,Very High,80.0,2.0,21.0,4.0,Excellent,19.0,9.0,15.0,2.0,No
22,59.0,Travel_Rarely,818.0,Human Resources,6.0,College,Medical,1.0,Good,Male,52.0,High,1.0,Human Resources,High,Married,2267.0,25657.0,8.0,Y,No,17.0,Excellent,Very High,80.0,0.0,7.0,2.0,Good,2.0,2.0,2.0,2.0,No
23,36.0,Travel_Rarely,1425.0,Research & Development,14.0,Below College,Life Sciences,1.0,High,Male,68.0,High,2.0,Healthcare Representative,Very High,Married,6586.0,4821.0,0.0,Y,Yes,17.0,Excellent,Low,80.0,1.0,17.0,2.0,Good,16.0,8.0,4.0,11.0,No
24,30.0,Travel_Rarely,853.0,Research & Development,7.0,Master,Life Sciences,1.0,High,Male,49.0,High,2.0,Laboratory Technician,High,Divorced,3491.0,11309.0,1.0,Y,No,13.0,Excellent,Low,80.0,3.0,10.0,4.0,Good,10.0,7.0,8.0,9.0,No
25,38.0,Travel_Rarely,433.0,Human Resources,1.0,Bachelor,Human Resources,1.0,High,Male,37.0,Very High,1.0,Human Resources,High,Married,2844.0,6004.0,1.0,Y,No,13.0,Excellent,Very High,80.0,1.0,7.0,2.0,Outstanding,7.0,6.0,5.0,0.0,No
26,28.0,Travel_Frequently,1496.0,Sales,1.0,Bachelor,Technical Degree,1.0,Low,Male,92.0,High,1.0,Sales Representative,High,Married,2909.0,15747.0,3.0,Y,No,15.0,Excellent,Very High,80.0,1.0,5.0,3.0,Outstanding,3.0,2.0,1.0,2.0,Yes
27,31.0,Travel_Rarely,192.0,Research & Development,2.0,Master,Life Sciences,1.0,High,Male,32.0,High,1.0,Research Scientist,Very High,Divorced,2695.0,7747.000000000001,0.0,Y,Yes,18.0,Excellent,Good,80.0,1.0,3.0,2.0,Low,2.0,2.0,2.0,2.0,No
28,36.0,Non-Travel,845.0,Sales,1.0,Doctor,Medical,1.0,Very High,Female,45.0,High,2.0,Sales Executive,Very High,Single,6653.0,15276.0,4.0,Y,No,15.0,Excellent,Good,80.0,0.0,7.0,6.0,Excellent,1.0,0.0,0.0,0.0,No
29,32.0,Travel_Rarely,427.00000000000006,Research & Development,1.0,Bachelor,Medical,1.0,Low,Male,33.0,High,2.0,Manufacturing Director,Very High,Married,6162.0,10877.0,1.0,Y,Yes,22.0,Outstanding,Good,80.0,1.0,9.0,3.0,Excellent,9.0,8.0,7.0,8.0,No
30,28.0,Non-Travel,120.0,Sales,4.0,Bachelor,Medical,1.0,Good,Male,43.0,High,2.0,Sales Executive,High,Married,4221.0,8863.0,1.0,Y,No,15.0,Excellent,Good,80.0,0.0,5.0,3.0,Outstanding,5.0,4.0,0.0,4.0,No
31,31.0,Travel_Rarely,248.9999999999999,Sales,6.0,Master,Life Sciences,1.0,Good,Male,76.0,Low,2.0,Sales Executive,High,Married,6172.0,20739.0,4.0,Y,Yes,18.0,Excellent,Good,80.0,0.0,12.0,3.0,Good,7.0,7.0,7.0,7.0,Yes
32,50.0,Travel_Rarely,316.00000000000006,Sales,8.0,Master,Marketing,1.0,Very High,Male,54.0,High,1.0,Sales Representative,Good,Married,3874.999999999999,9983.0,7.0,Y,No,15.0,Excellent,Very High,80.0,1.0,4.0,2.0,Excellent,2.0,2.0,2.0,2.0,No
33,39.0,Travel_Rarely,1132.0,Research & Development,1.0,Bachelor,Medical,1.0,High,Male,48.0,Very High,3.0,Healthcare Representative,Very High,Divorced,9613.000000000002,10942.0,0.0,Y,No,17.0,Excellent,Low,80.0,3.0,19.0,5.0,Good,18.0,10.0,3.0,7.0,No
34,35.0,Travel_Rarely,809.0,Research & Development,16.0,Bachelor,Medical,1.0,Low,Male,84.0,Very High,1.0,Laboratory Technician,Good,Married,2426.0,16479.0,0.0,Y,No,13.0,Excellent,High,80.0,1.0,6.0,5.0,Excellent,5.0,4.0,0.0,3.0,No
35,32.0,Travel_Frequently,379.00000000000006,Sales,5.0,College,Life Sciences,1.0,Good,Male,48.0,High,2.0,Sales Executive,Good,Married,6524.000000000001,8891.0,1.0,Y,No,14.0,Excellent,Very High,80.0,1.0,10.0,3.0,Excellent,10.0,8.0,5.0,3.0,No
36,26.0,Travel_Rarely,1330.0,Research & Development,21.0,Bachelor,Medical,1.0,Low,Male,37.0,High,1.0,Laboratory Technician,High,Divorced,2377.0,19373.0,1.0,Y,No,20.0,Outstanding,High,80.0,1.0,1.0,0.0,Good,1.0,1.0,0.0,0.0,Yes
37,30.0,Travel_Rarely,288.0,Research & Development,2.0,Bachelor,Life Sciences,1.0,High,Male,99.0,Good,2.0,Healthcare Representative,Very High,Married,4152.0,15830.0,1.0,Y,No,19.0,Excellent,Low,80.0,3.0,11.0,3.0,Excellent,11.0,10.0,10.0,8.0,No
38,38.0,Travel_Frequently,216.0,Research & Development,23.0,Bachelor,Life Sciences,1.0,Very High,Male,44.0,Good,3.0,Manufacturing Director,High,Single,9525.999999999998,8786.999999999996,0.0,Y,No,21.0,Outstanding,Good,80.0,0.0,10.0,2.0,Excellent,9.0,7.0,1.0,8.0,No
39,21.0,Travel_Rarely,1343.0,Sales,22.0,Below College,Technical Degree,1.0,High,Male,49.0,High,1.0,Sales Representative,High,Single,3447.0,24444.0,1.0,Y,No,11.0,Excellent,High,80.0,0.0,3.0,2.0,Excellent,3.0,2.0,1.0,2.0,No
40,35.0,Travel_Rarely,950.0,Research & Development,7.0,Bachelor,Other,1.0,High,Male,59.0,High,3.0,Manufacturing Director,High,Single,10220.999999999993,18869.0,3.0,Y,No,21.0,Outstanding,Good,80.0,0.0,17.0,3.0,Outstanding,8.0,5.0,1.0,6.0,No
41,26.0,Travel_Frequently,1479.0,Research & Development,1.0,Bachelor,Life Sciences,1.0,High,Female,84.0,High,2.0,Manufacturing Director,Good,Divorced,6397.0,26767.0,1.0,Y,No,20.0,Outstanding,Low,80.0,1.0,6.0,6.0,Low,6.0,5.0,1.0,4.0,No
42,31.0,Travel_Frequently,522.9999999999998,Research & Development,2.0,Bachelor,Life Sciences,1.0,Good,Male,94.0,High,1.0,Laboratory Technician,Very High,Married,3722.0000000000005,21081.0,6.0,Y,Yes,13.0,Excellent,High,80.0,1.0,7.0,2.0,Low,2.0,2.0,2.0,2.0,Yes
43,32.0,Travel_Rarely,1062.0,Research & Development,2.0,Bachelor,Medical,1.0,High,Female,75.0,High,1.0,Laboratory Technician,Good,Married,2370.0,3956.000000000002,1.0,Y,No,13.0,Excellent,High,80.0,1.0,8.0,4.0,Excellent,8.0,0.0,0.0,7.0,No
44,32.0,Travel_Rarely,929.0,Sales,10.0,Bachelor,Marketing,1.0,Very High,Male,55.0,High,2.0,Sales Executive,Very High,Single,5396.0,21703.0,1.0,Y,No,12.0,Excellent,Very High,80.0,0.0,10.0,2.0,Good,10.0,7.0,0.0,8.0,No
45,34.0,Travel_Rarely,1303.0,Research & Development,2.0,Master,Life Sciences,1.0,Very High,Male,62.0,Good,1.0,Research Scientist,High,Divorced,2768.0,8416.0,3.0,Y,No,12.0,Excellent,High,80.0,1.0,14.0,3.0,Excellent,7.0,3.0,5.0,7.0,No
46,33.0,Travel_Frequently,553.0000000000001,Research & Development,5.0,Master,Life Sciences,1.0,Very High,Female,74.0,High,3.0,Manager,Good,Married,11878.0,23364.0,6.0,Y,No,11.0,Excellent,Good,80.0,2.0,12.0,2.0,Excellent,10.0,6.0,8.0,8.0,No
47,47.0,Travel_Rarely,983.0,Research & Development,2.0,College,Medical,1.0,Low,Female,65.0,High,2.0,Manufacturing Director,Very High,Divorced,5070.0,7388.999999999995,5.0,Y,No,13.0,Excellent,High,80.0,3.0,20.0,2.0,Excellent,5.0,0.0,0.0,4.0,No
48,30.0,Travel_Rarely,921.0,Research & Development,1.0,Bachelor,Life Sciences,1.0,Very High,Male,38.0,Low,1.0,Laboratory Technician,High,Married,3832.999999999998,24375.0,3.0,Y,No,21.0,Outstanding,High,80.0,2.0,7.0,2.0,Excellent,2.0,2.0,0.0,2.0,No
49,58.0,Travel_Rarely,1145.0,Research & Development,9.0,Bachelor,Medical,1.0,Good,Female,75.0,Good,1.0,Research Scientist,Good,Married,3346.0,11873.0,4.0,Y,Yes,20.0,Outstanding,Good,80.0,1.0,9.0,3.0,Good,1.0,0.0,0.0,0.0,No
50,37.0,Travel_Rarely,625.0,Sales,1.0,Master,Life Sciences,1.0,Low,Male,46.0,Good,3.0,Sales Executive,High,Married,10609.000000000004,14922.0,5.0,Y,No,11.0,Excellent,High,80.0,0.0,17.0,2.0,Low,14.0,1.0,11.0,7.0,Yes
51,38.0,Travel_Rarely,1380.0,Research & Development,9.0,College,Life Sciences,1.0,High,Female,75.0,High,1.0,Laboratory Technician,Very High,Single,2288.0000000000005,6319.0,1.0,Y,No,12.0,Excellent,High,80.0,0.0,2.0,3.0,Excellent,2.0,2.0,2.0,1.0,No
52,43.0,Travel_Rarely,1372.0,Sales,9.0,Bachelor,Marketing,1.0,Low,Female,85.0,Low,2.0,Sales Executive,High,Single,5346.0,9489.0,8.0,Y,No,13.0,Excellent,Good,80.0,0.0,7.0,2.0,Good,4.0,3.0,1.0,3.0,Yes
53,52.0,Travel_Frequently,322.0,Research & Development,28.0,College,Medical,1.0,Very High,Female,59.0,Very High,4.0,Manufacturing Director,High,Married,13247.0,9731.0,2.0,Y,Yes,11.0,Excellent,Good,80.0,1.0,24.0,3.0,Good,5.0,3.0,0.0,2.0,No
54,44.0,Travel_Rarely,1488.0,Sales,1.0,Doctor,Marketing,1.0,Good,Female,75.0,High,2.0,Sales Executive,Low,Divorced,5454.0,4008.999999999998,5.0,Y,Yes,21.0,Outstanding,High,80.0,1.0,9.0,2.0,Good,4.0,3.0,1.0,3.0,No
55,59.0,Travel_Rarely,142.0,Research & Development,3.0,Bachelor,Life Sciences,1.0,High,Male,70.0,Good,1.0,Research Scientist,Very High,Married,2177.0,8456.0,3.0,Y,No,17.0,Excellent,Low,80.0,1.0,7.0,6.0,Excellent,1.0,0.0,0.0,0.0,No
56,42.0,Non-Travel,926.0,Research & Development,21.0,College,Medical,1.0,High,Female,36.0,High,2.0,Manufacturing Director,High,Divorced,5265.0,16439.0,2.0,Y,No,16.0,Excellent,Good,80.0,1.0,11.0,5.0,Excellent,5.0,3.0,0.0,2.0,No
57,45.0,Travel_Rarely,560.9999999999999,Sales,2.0,Bachelor,Other,1.0,Very High,Male,61.0,High,2.0,Sales Executive,Good,Married,4805.0,16177.0,0.0,Y,No,19.0,Excellent,Good,80.0,1.0,9.0,3.0,Outstanding,8.0,7.0,3.0,7.0,No
58,21.0,Travel_Rarely,1427.0,Research & Development,18.0,Below College,Other,1.0,Very High,Female,65.0,High,1.0,Research Scientist,Very High,Single,2693.0,8870.0,1.0,Y,No,19.0,Excellent,Low,80.0,0.0,1.0,3.0,Good,1.0,0.0,0.0,0.0,Yes
59,23.0,Travel_Rarely,885.0,Research & Development,4.0,Bachelor,Medical,1.0,Low,Male,58.0,Very High,1.0,Research Scientist,Low,Married,2819.0,8544.0,2.0,Y,No,16.0,Excellent,Low,80.0,1.0,5.0,3.0,Outstanding,3.0,2.0,0.0,2.0,No
